ticker,setup_state,score,last_close,resistance,breakout_pct,breakout_days_ago,pivot_touch_count,resistance_flatness_pct,low_slope_pct_per_day,swing_low_count,ascending_triangle,bb_width_pctile,min_bb_width_pctile_20d,squeeze_recent,breakout_volume_ratio,volume_confirmed,last_complete_week_return_pct,close_vs_52w_high_pct,above_sma50,above_sma200,avg_dollar_volume_20d_m,notes
DGRO,testing_resistance,69.0,77.78,78.11,-0.43,9.0,4,4.42,0.0511,12,True,44.4,0.4,True,0.89,False,-0.29,-3.47,False,True,97.49,4 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; recent volatility compression; testing resistance before breakout; below SMA50
QUAL,testing_resistance,69.0,218.42,220.03,-0.73,9.0,4,1.77,0.0588,4,True,36.1,0.4,True,1.18,False,-0.47,-3.92,False,True,187.03,4 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; recent volatility compression; testing resistance before breakout; below SMA50
DBA,fresh_breakout,68.0,29.32,28.6,2.52,9.0,2,1.68,0.0884,3,False,91.3,41.7,False,2.64,True,-1.16,-0.68,True,True,45.88,only 2 pivot resistance touch(es); flat pivot resistance; rising swing lows; ascending triangle not fully confirmed; fresh breakout; breakout volume expansion; near/new 52-week high
SCHG,fresh_breakout,68.0,34.86,34.7,0.45,9.0,5,5.05,0.022,11,False,5.2,0.4,True,1.02,False,-0.7,-3.46,False,True,227.12,5 separated pivot resistance touches; messy resistance; rising swing lows; ascending triangle not fully confirmed; current volatility squeeze; fresh breakout; breakout lacks volume confirmation; below SMA50
ACWX,fresh_breakout,68.0,76.63,76.6,0.04,9.0,6,5.47,0.0516,8,False,3.6,0.4,True,1.08,False,1.15,-2.73,True,True,124.83,6 separated pivot resistance touches; messy resistance; rising swing lows; ascending triangle not fully confirmed; current volatility squeeze; fresh breakout; breakout lacks volume confirmation
FDN,testing_resistance,68.0,285.5,287.78,-0.79,9.0,6,5.65,0.0175,12,False,22.6,21.0,True,0.43,False,-1.2,-4.06,True,True,45.2,6 separated pivot resistance touches; messy resistance; rising swing lows; ascending triangle not fully confirmed; current volatility squeeze; testing resistance before breakout
PPH,near_resistance,67.0,109.6,111.96,-2.1,9.0,6,3.94,0.083,8,True,75.0,20.6,True,2.23,True,0.52,-7.12,False,True,27.04,6 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; recent volatility compression; near resistance; below SMA50
KBWB,near_resistance,66.0,96.28,98.51,-2.26,,4,4.53,0.0733,12,True,32.9,8.7,True,,False,1.42,-4.3,False,True,120.76,4 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; current volatility compression; near resistance; below SMA50
IAT,fresh_breakout,65.0,62.05,58.83,5.46,9.0,3,0.74,0.1578,8,True,49.2,7.9,True,1.14,False,1.32,-6.21,False,True,8.99,3 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; recent volatility compression; fresh breakout; breakout lacks volume confirmation; below SMA50
JQUA,fresh_breakout,65.0,72.95,72.12,1.16,9.0,3,0.93,0.0869,4,True,40.1,1.2,True,0.87,False,-0.53,-3.56,False,True,38.71,3 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; recent volatility compression; fresh breakout; breakout lacks volume confirmation; below SMA50
